ObjectID,Loc_name,Status,Score,Match_type,Match_addr,Xmin,Xmax,Ymin,Ymax,Addr_type,ARC_SingleLine,datum_a_čas_přestupku,místo_přestupku,typ_přestupku,adresa,X,Y
11,ul_co_zn,M,100,A,Úvoz 7,0,0,0,0,Address,Úvoz 7,2014-03-06 22:07:00.000,"Úvoz 7, Brno","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 4 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Úvoz 7,16.5948751195968,49.194281896727
12,ul_co_zn,M,100,A,Trnkova 109,0,0,0,0,Address,Trnkova 109,2014-04-18 21:58:00.000,"Trnkova 109, Brno-Líšeň","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 4 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Trnkova 109,16.6813699098815,49.1997886403038
13,ul_co_zn,M,100,A,Úvoz 7,0,0,0,0,Address,Úvoz 7,2014-06-04 00:43:00.000,"Úvoz 7, Brno","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 2 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Úvoz 7,16.5948751195968,49.194281896727
14,ul_co_zn,M,100,A,Sokolova 2b,0,0,0,0,Address,Sokolova 2b,2014-06-25 04:24:00.000,"Sokolova 2b, Brno-Horní Heršpice","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 4 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Sokolova 2b,16.6196202693546,49.1664990815709
15,ul_co_zn,M,100,A,Terezy Novákové 45,0,0,0,0,Address,Terezy Novákové 45,2014-06-26 09:19:00.000,"Terezy Novákové 45, Brno-Řečkovice","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 4 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Terezy Novákové 45,16.5781867152333,49.2493824241437
16,ul_co_zn,M,100,A,Kšírova 122,0,0,0,0,Address,Kšírova 122,2014-07-07 19:59:00.000,"Kšírova 122, Brno-Horní Heršpice","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 3 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Kšírova 122,16.6158184834574,49.1702796409911
17,pomistni_rychl,M,100,A,Novolíšeňská-garáže,0,0,0,0,Address,Novolíšeňská-garáže,2014-08-13 11:29:00.000,"Novolíšeňská-garáže, Brno","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 3 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Novolíšeňská-garáže,16.6763042206115,49.2030269364339
18,ul_cp,T,85,A,Hněvkovského 169,0,0,0,0,Address,Hněvkovského-69a,2013-06-01 04:33:00.000,"Hněvkovského-69a, Brno","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 3 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Hněvkovského-69a,16.6234391404941,49.1736759026819
19,ul_co_zn,M,100,A,Černovická 20,0,0,0,0,Address,Černovická 20,2013-06-01 14:55:00.000,"Černovická 20, Brno-Komárov","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 4 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Černovická 20,16.6268369240395,49.1765987468865
20,ul_co_zn,M,100,A,Černovická 20,0,0,0,0,Address,Černovická 20,2013-06-01 15:25:00.000,"Černovická 20, Brno-Komárov","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 4 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Černovická 20,16.6268369240395,49.1765987468865
21,ul_co_zn,M,100,A,Černovická 20,0,0,0,0,Address,Černovická 20,2013-06-01 15:38:00.000,"Černovická 20, Brno-Komárov","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 4 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Černovická 20,16.6268369240395,49.1765987468865
22,ul_co_zn,M,100,A,Nové sady 30,0,0,0,0,Address,Nové sady 30,2013-06-02 10:02:00.000,"Nové sady 30, Brno","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 4 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Nové sady 30,16.6045172763768,49.1868771103801
23,ul_co_zn,M,100,A,Nové sady 30,0,0,0,0,Address,Nové sady 30,2013-06-02 10:27:00.000,"Nové sady 30, Brno","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 3 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Nové sady 30,16.6045172763768,49.1868771103801
24,ul_co_zn,M,100,A,Trnkova 109,0,0,0,0,Address,Trnkova 109,2013-06-02 15:51:00.000,"Trnkova 109, Brno-Líšeň","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 3 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Trnkova 109,16.6813699098815,49.1997886403038
25,ul_co_zn,M,100,A,Trnkova 109,0,0,0,0,Address,Trnkova 109,2013-06-02 16:37:00.000,"Trnkova 109, Brno-Líšeň","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 3 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Trnkova 109,16.6813699098815,49.1997886403038
26,ul_co_zn,M,100,A,Trnkova 109,0,0,0,0,Address,Trnkova 109,2013-06-02 17:11:00.000,"Trnkova 109, Brno-Líšeň","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 4 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Trnkova 109,16.6813699098815,49.1997886403038
27,pomistni_rychl,M,100,A,Veslařská-u vozovny,0,0,0,0,Address,Veslařská-u vozovny,2013-06-02 20:35:00.000,"Veslařská-u vozovny, Brno","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 3 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Veslařská-u vozovny,16.5597199717299,49.2118708533135
28,pomistni_rychl,M,100,A,Veslařská-u vozovny,0,0,0,0,Address,Veslařská-u vozovny,2013-06-02 20:58:00.000,"Veslařská-u vozovny, Brno","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 4 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Veslařská-u vozovny,16.5597199717299,49.2118708533135
29,pomistni_rychl,M,100,A,Veslařská-u vozovny,0,0,0,0,Address,Veslařská-u vozovny,2013-06-02 21:12:00.000,"Veslařská-u vozovny, Brno","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 4 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Veslařská-u vozovny,16.5597199717299,49.2118708533135
30,pomistni_rychl,M,100,A,Veslařská-u vozovny,0,0,0,0,Address,Veslařská-u vozovny,2013-06-02 21:26:00.000,"Veslařská-u vozovny, Brno","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 4 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Veslařská-u vozovny,16.5597199717299,49.2118708533135
31,ul_co_zn,M,100,A,Nové sady 30,0,0,0,0,Address,Nové sady 30,2013-06-03 00:18:00.000,"Nové sady 30, Brno","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 4 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Nové sady 30,16.6045172763768,49.1868771103801
32,pomistni_rychl,M,100,A,Novolíšeňská-garáže,0,0,0,0,Address,Novolíšeňská-garáže,2013-06-03 08:29:00.000,"Novolíšeňská-garáže, Brno","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 4 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Novolíšeňská-garáže,16.6763042206115,49.2030269364339
33,pomistni_rychl,M,100,A,Novolíšeňská-garáže,0,0,0,0,Address,Novolíšeňská-garáže,2013-06-03 08:55:00.000,"Novolíšeňská-garáže, Brno","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 3 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Novolíšeňská-garáže,16.6763042206115,49.2030269364339
34,pomistni_rychl,M,100,A,Novolíšeňská-garáže,0,0,0,0,Address,Novolíšeňská-garáže,2013-06-03 09:21:00.000,"Novolíšeňská-garáže, Brno","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 4 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Novolíšeňská-garáže,16.6763042206115,49.2030269364339
35,ul_co_zn,M,100,A,Trnkova 109,0,0,0,0,Address,Trnkova 109,2013-06-03 12:26:00.000,"Trnkova 109, Brno-Líšeň","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 3 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Trnkova 109,16.6813699098815,49.1997886403038
36,pomistni_rychl,M,100,A,Veslařská-u vozovny,0,0,0,0,Address,Veslařská-u vozovny,2013-06-03 16:20:00.000,"Veslařská-u vozovny, Brno","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 4 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Veslařská-u vozovny,16.5597199717299,49.2118708533135
37,pomistni_rychl,M,100,A,Veslařská-u vozovny,0,0,0,0,Address,Veslařská-u vozovny,2013-06-03 16:37:00.000,"Veslařská-u vozovny, Brno","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 4 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Veslařská-u vozovny,16.5597199717299,49.2118708533135
38,pomistni_rychl,M,100,A,Veslařská-u vozovny,0,0,0,0,Address,Veslařská-u vozovny,2013-06-03 16:56:00.000,"Veslařská-u vozovny, Brno","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 4 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Veslařská-u vozovny,16.5597199717299,49.2118708533135
39,ul_co_zn,M,100,A,Pražská 146,0,0,0,0,Address,Pražská 146,2013-06-03 20:20:00.000,"Pražská 146, Brno-Bosonohy","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 4 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Pražská 146,16.523187498787,49.174220519161
40,ul_co_zn,M,100,A,Pražská 146,0,0,0,0,Address,Pražská 146,2013-06-03 20:55:00.000,"Pražská 146, Brno-Bosonohy","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 4 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Pražská 146,16.523187498787,49.174220519161
41,ul_co_zn,M,100,A,Pražská 146,0,0,0,0,Address,Pražská 146,2013-06-03 21:15:00.000,"Pražská 146, Brno-Bosonohy","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 4 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Pražská 146,16.523187498787,49.174220519161
42,ul_co_zn,M,100,A,Nové sady 30,0,0,0,0,Address,Nové sady 30,2013-06-04 01:33:00.000,"Nové sady 30, Brno","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 4 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Nové sady 30,16.6045172763768,49.1868771103801
43,ul_cp,T,85,A,Hněvkovského 169,0,0,0,0,Address,Hněvkovského-69a,2013-06-04 04:11:00.000,"Hněvkovského-69a, Brno","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 3 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Hněvkovského-69a,16.6234391404941,49.1736759026819
44,ul_co_zn,M,100,A,Terezy Novákové 45,0,0,0,0,Address,Terezy Novákové 45,2013-06-04 08:30:00.000,"Terezy Novákové 45, Brno-Řečkovice","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 4 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Terezy Novákové 45,16.5781867152333,49.2493824241437
45,ul_co_zn,M,100,A,Terezy Novákové 45,0,0,0,0,Address,Terezy Novákové 45,2013-06-04 08:56:00.000,"Terezy Novákové 45, Brno-Řečkovice","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 4 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Terezy Novákové 45,16.5781867152333,49.2493824241437
46,ul_co_zn,M,100,A,Terezy Novákové 45,0,0,0,0,Address,Terezy Novákové 45,2013-06-04 09:54:00.000,"Terezy Novákové 45, Brno-Řečkovice","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 4 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Terezy Novákové 45,16.5781867152333,49.2493824241437
47,ul_co_zn,M,100,A,Terezy Novákové 45,0,0,0,0,Address,Terezy Novákové 45,2013-06-04 10:22:00.000,"Terezy Novákové 45, Brno-Řečkovice","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 4 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Terezy Novákové 45,16.5781867152333,49.2493824241437
48,ul_co_zn,M,100,A,Veslařská 151,0,0,0,0,Address,Veslařská 151,2013-06-04 11:55:00.000,"Veslařská 151, Brno-Jundrov","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 3 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Veslařská 151,16.5594142974765,49.2052606023826
49,ul_co_zn,M,100,A,Veslařská 151,0,0,0,0,Address,Veslařská 151,2013-06-04 12:13:00.000,"Veslařská 151, Brno-Jundrov","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 4 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Veslařská 151,16.5594142974765,49.2052606023826
50,ul_co_zn,M,100,A,Veslařská 151,0,0,0,0,Address,Veslařská 151,2013-06-04 13:08:00.000,"Veslařská 151, Brno-Jundrov","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 4 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Veslařská 151,16.5594142974765,49.2052606023826
51,ul_co_zn,M,100,A,Trnkova 109,0,0,0,0,Address,Trnkova 109,2013-06-04 16:01:00.000,"Trnkova 109, Brno-Líšeň","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 3 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Trnkova 109,16.6813699098815,49.1997886403038
52,ul_co_zn,M,100,A,Plotní 43,0,0,0,0,Address,Plotní 43,2013-06-04 23:37:00.000,"Plotní 43, Brno-Komárov","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 4 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Plotní 43,16.6189532420094,49.1844589181293
53,ul_co_zn,M,100,A,Plotní 43,0,0,0,0,Address,Plotní 43,2013-06-04 23:52:00.000,"Plotní 43, Brno-Komárov","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 3 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Plotní 43,16.6189532420094,49.1844589181293
54,ul_co_zn,M,100,A,Plotní 43,0,0,0,0,Address,Plotní 43,2013-06-05 00:17:00.000,"Plotní 43, Brno-Komárov","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 3 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Plotní 43,16.6189532420094,49.1844589181293
55,ul_co_zn,M,100,A,Plotní 43,0,0,0,0,Address,Plotní 43,2013-06-05 01:02:00.000,"Plotní 43, Brno-Komárov","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 3 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Plotní 43,16.6189532420094,49.1844589181293
56,ul_co_zn,M,100,A,Černovická 20,0,0,0,0,Address,Černovická 20,2013-06-05 15:00:00.000,"Černovická 20, Brno-Komárov","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 4 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Černovická 20,16.6268369240395,49.1765987468865
57,ul_co_zn,M,100,A,Černovická 20,0,0,0,0,Address,Černovická 20,2013-06-05 15:33:00.000,"Černovická 20, Brno-Komárov","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 3 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Černovická 20,16.6268369240395,49.1765987468865
